WKT,Area
"POLYGON ((1.57117858589465 52.6376103394245,1.57108237248795 52.6359761599863,1.57279725826427 52.6312772768981,1.5536377602807 52.6212218530006,1.53058483361853 52.6262799247297,1.52349966963982 52.6315397704059,1.52437910897462 52.635713761334,1.52260095993696 52.6449602051062,1.52738223460326 52.6462980347959,1.56973194391479 52.651990353388,1.57193431771097 52.6504404656989,1.57117858589465 52.6376103394245))",Acle
"POLYGON ((1.3590806196067 52.4334334535781,1.34685710470684 52.4206089288028,1.33320808790885 52.419228337427,1.31338978419924 52.4245123268066,1.30705620668785 52.4248606194423,1.29978158740548 52.4302390591233,1.29583965680456 52.4331527753338,1.30520826159808 52.4502683038854,1.31151474341637 52.4538081415348,1.32502625438788 52.4543321582828,1.35123427506407 52.4352716269403,1.3590806196067 52.4334334535781))",Alburgh
"POLYGON ((1.29195601842753 52.8638275116241,1.28997155762962 52.8624533449421,1.28094838383942 52.8504425012653,1.27806697579917 52.8489230558505,1.2477849262805 52.8509882385783,1.24252010977685 52.8500390457068,1.23086870071896 52.8603629119565,1.21568450004813 52.8656243032982,1.2166751473795 52.8716239636184,1.23771720395291 52.8792410660867,1.24286135882929 52.8773748130016,1.2663995739825 52.8797371442257,1.27918987928055 52.8779957581661,1.29195601842753 52.8638275116241))",Aldborough
"POLYGON ((1.61870800582875 52.4772116524927,1.61876853565364 52.4668104851633,1.58440811201613 52.4698302472033,1.57975015889456 52.4721423044211,1.57647382665085 52.4774059803793,1.60446554338595 52.5001492574506,1.60763745907283 52.5005003680456,1.61870800582875 52.4772116524927))",Aldeby
"POLYGON ((1.14966125925089 52.7382589200999,1.1549588633953 52.71824502142,1.15208335360542 52.7181699925914,1.14781202668284 52.7155027534672,1.12502022991078 52.7227415378844,1.12346032052286 52.7260239469992,1.12279386584812 52.7370822299863,1.12789598102511 52.7391782557185,1.13921903554887 52.7419970157243,1.14526193539056 52.7409801993631,1.14966125925089 52.7382589200999))",Alderford
"POLYGON ((1.4654292367677 52.3925371717228,1.46706301726824 52.390806399479,1.42620640923422 52.3821409630958,1.41395730294527 52.3934900139375,1.41818217997395 52.3987904787316,1.4654292367677 52.3925371717228))",All Saints South Elmham
"POLYGON ((1.03520170647223 52.3223248440633,1.0192667152693 52.296803592776,1.01392166494826 52.2956308505181,0.985258013374845 52.2970520695703,0.971927675488269 52.3117770657734,0.971617733841193 52.312841504907,1.02617442005658 52.3277142850178,1.03520170647223 52.3223248440633))",Allwood Green
"POLYGON ((0.632770450272889 52.8358801990805,0.618979650752451 52.8100313985826,0.609130306911763 52.8012100673255,0.556860684110612 52.8343416569831,0.556963141913945 52.8372425020822,0.583302825492054 52.853271144876,0.632770450272889 52.8358801990805))",Anmer
"POLYGON ((1.35585680490889 52.855740973852,1.36395881165328 52.8457123432039,1.36482744433072 52.8342242998473,1.35547883084129 52.8293693433469,1.32816633270394 52.8314545752363,1.32717773752188 52.8571117787312,1.33849126765418 52.8597191871272,1.35585680490889 52.855740973852))",Antingham
"POLYGON ((1.34840058216762 52.5909135134867,1.34368043770159 52.5816361157437,1.33136870514871 52.587156084247,1.3301158363615 52.5863227023551,1.32246424806444 52.5812319844184,1.31651206949233 52.5819138024119,1.31190604843022 52.5984764297769,1.31250494501673 52.5987159709183,1.33947321995117 52.6038852196278,1.34840058216762 52.5909135134867))",Arminghall
"POLYGON ((1.46472801048968 52.5631098118992,1.46318059855178 52.5575362557407,1.46311176700107 52.5574848937267,1.42255900752703 52.5642168607868,1.4300744676938 52.5782632047281,1.43305867715945 52.5786599128938,1.46472801048968 52.5631098118992))",Ashby St Mary
"POLYGON ((0.823709229356107 52.6162746045457,0.829580012282518 52.6128131011264,0.825345952487437 52.6079836911659,0.770403765664832 52.5851354315817,0.765115602644508 52.5864593326207,0.758628865553061 52.5926328272523,0.764042654754993 52.613033071524,0.775095948092395 52.6191138290515,0.823709229356107 52.6162746045457))",Ashill
"POLYGON ((1.17212108755065 52.5355097182882,1.16381969303626 52.5219944392978,1.12401547969624 52.5239689560307,1.12420022796762 52.531213613075,1.15482451979677 52.5500949973561,1.17212108755065 52.5355097182882))",Ashwellthorpe
"POLYGON ((0.541660055676815 52.7527679174055,0.53794795956906 52.7301872645539,0.498971608026142 52.7321651412403,0.506901430600139 52.7589816375361,0.538809954605151 52.7543225762781,0.541660055676815 52.7527679174055))",Leziate
"POLYGON ((1.1903097622607 52.4798108481098,1.19177893677887 52.4746573009831,1.18187553457201 52.467369807663,1.16231968320629 52.4660662717368,1.15211294044886 52.4761547660253,1.15804385654672 52.4866812911006,1.16173370206854 52.4879035367983,1.1903097622607 52.4798108481098))",Aslacton
"POLYGON ((1.0709513482757 52.5036289442836,1.0281228099824 52.4965341802923,1.00093267984217 52.4852442836634,0.988246073859179 52.4936022109632,0.983999868590861 52.4988079996083,0.975143620634977 52.5027078883599,1.0051843563918 52.5333745918348,1.01201984567696 52.5336990280282,1.02213003581609 52.5234237627312,1.02263144512443 52.5235099110068,1.03459261341397 52.5263441825327,1.03717269082569 52.5234523475199,1.03733925915017 52.5209198816587,1.0357561781634 52.5191759147089,1.03024939138043 52.5151678231426,1.03950051306282 52.5057567580145,1.0709513482757 52.5036289442836))",Attleborough
"POLYGON ((1.17534140883617 52.7125803115223,1.18011633169048 52.7010221182937,1.17417449700894 52.696126208285,1.14620716788855 52.693915899994,1.13687297159028 52.7049835823978,1.14781202668284 52.7155027534672,1.15208335360542 52.7181699925914,1.1549588633953 52.71824502142,1.15750108835153 52.7183112966363,1.17534140883617 52.7125803115223))",Attlebridge
